SOURCE_ID,best_classification,int_average_g,num_clean_epochs_g,ra_column,dec_column,b_column,parallax,distance_pc,period,g_mag,uwe,gbp_minus_grp,excess_ratio,flux,flux_err
4410058473777585024,RRab,11.384384,38,240.9243006714196,0.5991270878097505,36.83446375327635,0.8210820778984025,1217.9050388720532,0.487567521540895,11.4899435,1.1852525,0.7517805,0.8620775145638548,477495.5852875988,5842.042
4417888542753226112,RRab,9.9731455,20,232.75756436521334,1.6837805267319799,44.09821460500612,1.1746025863093772,851.3517777463936,0.7141111719974252,9.981442,1.2159287,0.6672573,0.9318705091420407,1915886.4084160093,21648.934
4421376120621796992,RRab,12.330089,24,232.15148397831086,3.0897331913534907,45.427538410631946,0.4445059135688823,2249.6888555905257,0.5267875852867434,12.319382,1.3839123,0.54297733,1.044882804663859,222430.34771993346,3540.0515
4423520928509728512,RRab,13.001217,58,237.6797275300599,2.4643027651988327,40.564974308689315,0.3686951230175926,2712.2680436222754,0.6470784403950891,13.056416,1.4672663,0.7505522,0.8630530935108524,112818.53638160155,1336.1687
4427105439491336320,RRab,13.030976,40,233.73045389623084,3.1541184638897395,44.19202632678948,0.3003658543077073,3329.273236815921,0.596435562926719,13.019998,1.2090756,0.6370859,0.9581295649977908,116666.86505831341,1039.7552
4427628875745754880,RRab,13.301485,32,234.7994487851072,3.923399263858361,43.761799279664444,0.27844080412434075,3591.4276398707684,0.46342754719787815,13.400866,1.4949248,0.57013893,1.019067543123669,82148.65687682114,1002.24805
4428519235349675136,RRab,19.767132,20,231.09217576676426,4.6340032534215725,47.19267400267063,2.9255971547257547,341.8105593877432,0.5161080913026406,19.752153,1.1441805,1.0260353,0.6696446243363084,236.63853678680945,2.6829035
4429111567175788160,RRab,13.015028,24,232.298388480165,6.142126369786281,47.06965721381844,0.31016072639199627,3224.134827231966,0.5422983681107877,13.069571,1.3252509,0.6323471,0.9623208554161522,111459.9074275274,1734.687
4439524212872324736,RRab,12.201254,47,245.80315433366417,6.761804397848847,35.89238497542083,0.48340176076497465,2068.6726469872965,0.6420585941909536,12.217648,1.1700994,0.6939955,0.9092020375078123,244279.81446642368,681.2027
4439965121334564096,RRab,12.999814,51,246.20686795655544,8.070539289412572,36.160098732849235,0.28398908259569877,3521.26212338821,0.6447267089920754,13.054257,1.4399265,0.6251259,0.9687423780568545,113042.99281927384,1382.6598
4446209728904885248,RRab,15.772022,52,248.821970720383,8.802136840885073,34.19885459271939,0.6175831439765828,1619.2151773460928,0.5509271252710988,15.74985,0.9834067,1.1358366,0.6052350197937887,9440.75406336197,46.399708
4448283270393789568,RRab,13.920061,38,253.90327404378667,12.430738940737434,31.260725607948785,0.25634900047181597,3900.9319254589564,0.5285414855773772,14.133088,1.3592721,0.74857235,0.864628621407087,41851.53660387075,419.0
4453598240883472896,RRab,13.15791,45,244.25199515741073,10.291021448026088,38.89264881451958,0.2952710931627969,3386.7182502983883,0.5479330437182464,13.168571,1.3421091,0.6580057,0.9398445543835625,101746.21169136236,936.9684
4454183799545435008,RRab,11.348698,43,238.91819856710862,7.988740498023956,42.45102915220585,0.5748808151370919,1739.4909930357128,0.7465868783532106,11.459988,1.170542,0.62345123,0.9702385365199426,490853.28056451847,5094.05
4455653709154659072,RRab,12.908362,49,238.12207095702863,10.142751976912015,44.181643534517015,0.33286362042582474,3004.233381589502,0.5113860968945318,12.958799,0.97015446,0.6117077,0.9807889591857636,123431.75203495454,1306.6458
4458616102716856320,RRab,13.321771,67,248.05149074714117,10.31838176805553,35.55533626003754,0.3280906440490289,3047.9381784826605,0.7863455532931499,13.319972,1.6507735,0.74302197,0.8690604280753731,88502.98517913256,190.43597
4461280391188698368,RRab,17.82152,65,250.70212372096876,13.797641980178287,34.66472277881987,1.8906271196295732,528.9250268429071,0.547073576611685,17.862913,1.0198913,0.6844673,0.9172155298656818,1348.2849103680953,12.112189
4465697399976758528,RRab,11.692688,66,246.46256103313186,15.74611891080782,39.1994863477433,0.7506010051296103,1332.2657352787912,0.44240005198272375,11.737296,1.733208,0.64176655,0.9540084328634155,380214.1889530418,2983.8916
4467433017738606080,RRab,10.621704,53,247.6697715677847,18.366914563547137,39.082650526739435,1.0276650708268327,973.0796816860048,0.4553577887127162,10.834998,1.3434315,0.65815544,0.9397160271252407,872865.9017760514,9531.604
4545066299664306176,RRab,12.455985,59,256.13693984532,14.44240410841457,30.08471230465605,0.4470244062980098,2237.0143238518117,0.5510179288316122,12.497813,1.3981633,0.74308014,0.8690133833707141,188721.56296225922,2158.2666
4545996422077523072,RRab,13.535218,51,256.67098688797785,15.67563437382426,30.090595354101428,0.2647901990088622,3776.5748269501896,0.5395311641586704,13.587546,1.1538256,0.79513264,0.8283338406738966,69171.66673962337,601.3681
4574002151468939264,RRab,12.991368,63,260.21424301037297,26.538991786364075,30.68360548329677,0.3259694664073581,3067.7719941729706,0.5297392915861252,13.047819,1.6975138,0.60417366,0.9876181300007553,113715.32873415176,1359.9491
4631934555845355136,RRab,12.586699,36,22.801291717138454,-78.4857149346604,-38.44710733814857,0.4267859474240695,2343.094954357447,0.5557925649582729,12.664029,1.2269349,0.70715237,0.8982516252729089,161932.95442529465,1557.2069
4638562862910961408,RRab,13.832223,39,26.841046035139957,-73.35031051100256,-43.18140633208313,0.2524993711631625,3960.405902768804,0.48760779166890583,13.812295,1.2914314,0.61345005,0.9792166322378155,56237.84484767446,724.00397
4643606391466365824,RRab,12.94107,45,34.87804214577304,-73.56596545419772,-42.127133960203224,0.3352068625192296,2983.232480637635,0.6753831443109567,12.990637,1.2762161,0.64287853,0.9530313045927643,119864.88962501602,1345.8156
4648583605732925184,RRab,13.715575,38,83.65381491842342,-75.6632271619259,-30.94928557874369,0.27010321177590774,3702.2884453134684,0.5739488414514858,13.735975,1.2235733,0.6641941,0.9345036118771604,60333.24267209763,685.88336
4649015060967755520,RRab,13.279798,36,79.09619206451679,-75.45721639599815,-32.101917430137355,0.2601325573535088,3844.1939377893536,0.8340038950088993,13.286609,0.98125225,0.7156553,0.8912436442461965,91264.8133848773,824.4022
4651573315306993920,RRab,13.521438,42,77.48499456917912,-71.64461991766908,-33.56531774036132,0.28530421101971937,3505.030635285236,0.40979280820262665,13.676733,1.4078225,0.61559486,0.977284135581017,63716.711673310245,522.66345
